start,end,speaker,text
405.00,435.00,MOT,ネタちゃん ネちゃんと 先生と 歌歌ったね これは? 太陽 タイちゃんと タッちゃんと 誰だと タッちゃんと誰 三ッチの髪の毛 すごい絡まってる タッちゃんと 誰だと この間タッちゃんもいたね
439.00,453.00,MOT,髪の毛すごいよ 蜘蛛の巣状態 もつれて 何? ウォール? ウーシー ウシー ウシーさんのウォール
455.00,457.00,MOT,ウシは?
459.00,461.00,MOT,これ何これ?
463.00,465.00,MOT,道
465.00,467.00,CHI,カッカー
467.00,469.00,MOT,ピンクやん
471.00,477.00,MOT,きれいきれいし 鏡?鏡もっといて 鏡はそこだ
479.00,483.00,MOT,鏡見えますか? 鏡見えますか?
485.00,495.00,MOT,鏡見える道 かわいいかわいい きれいきれいになった? きれいきれいになった? きれいきれいになった?
497.00,519.00,MOT,かわいい?道髪の毛とくんよ 鏡で 鏡じゃなくしで あ! はじめしゃちょい はい はい 全過効果たずけした 鏡つけ 鏡つけ 鏡つけ
523.00,579.00,MOT,くしどこやった? おりなげた? うち? この間動物にいた時 おったねこれ 何これ? パンだよ これは? うん なにこれ? そう どうだった お父さんと お母さんと 上の動物に行った時に お父さんいたね お父さんをこうやってお花で道を 砂鳥って 頭にかけてたね お父さんね お父さん気持ちいい気持ち いたってたね お父さん気持ちいい気持ち いいってたね これは? なにこれ? なにこれ? こいちゃん! こいちゃん! ちっちゃいから赤ちゃんよ こいちゃん! 赤ちゃんこれ こいちゃん!
580.00,584.00,MOT,父さん切りんやろこっち これ母さん切りんやろ
586.00,591.00,MOT,赤ちゃん、みっちり切りんや みっちみの切りんちゃん ちっちゃいから
592.00,593.00,MOT,ねー
594.00,597.00,MOT,これはなに? うん なに?
599.00,609.00,MOT,パンダやろ? ね?ね?してた? うん 大きいじゃないか うん 大きいパンダが グロングロンって ね?してたね
611.00,636.00,MOT,これはこわら しろくまさん のしのしのしのし あの手だね ずっと のしのしのしのし あの手だろ 大きいじゃん か 大きい くまさん のしのしのしのしのしのしのしの これは、聞いてなくね。 おしゃれさまよ。
636.00,644.00,CHI,あいあい。 南の島の
644.00,653.00,MOT,父さんと 父さんと? 父さんと? おさるさん見たね。
654.00,681.00,MOT,父さん見たね。次何かな? トラー 顔を持ったね。 顔? 父ちゃんと? 父さんに抱っこしもらってみたいなの。 トラーさん、顔を持って。 これは? 島馬。 父ちゃんと?
682.00,700.00,MOT,父さんとね、見たね。父さんに抱っこしてもらってね。 道、島馬はきりんさんと、ダチョウさんと一緒に入ってたね。 で、パクパクパクパクパクって大馬さん走ってきたらさ、 ダチョウもパクパクパクパクパクって言ったね。 ダチョウさん。
700.00,702.00,CHI,早いな。
702.00,709.00,MOT,早い。分かったね。 早い。パクパクパクパクパクって逃げてね。 早かったね。
710.00,727.00,MOT,ねえ。 面白かったね、動物に行ってね。 はい、今度は何? これ。 これは? しか。 まんまんまー。 まんまんまんまって言い下げてね。
727.00,729.00,CHI,しか、せんべーな。
729.00,735.00,MOT,しかさん、おいしいおいしい言ってた? おいしいおいしい言ってた? よかったで。
740.00,744.00,CHI,にゃんこ。 猫。
746.00,761.00,CHI,やーっこっこ。 にゃんこ。 猫。 猫。 だいぶまびたけどまだ道がね、髪の毛。
761.00,765.00,MOT,全然まびませんね、道目。
768.00,788.00,MOT,なに? 何言ってんの? うん。だっこ。 だっこ? うん。 だっこ。 だっこ。 だっこ? だっこ? だっこ?
791.00,797.00,MOT,父さん? 買ってきた? 買ってね。
799.00,819.00,MOT,ビデオしてない。 ずれたかな、今? あら、ずれたん違う? ずれたか? ずれてないわ。 ずれてない? ずれたかな? ずれたかな? 父さん、こっちに行くか。 ほら、ほら、リッチ。
822.00,837.00,MOT,買ったら25、26、27。 行く? うん。 父さん、連れて行くの? 連れて行くの? うん。 リッチ、ほら。
840.00,866.00,MOT,猫だ。 これは? 猫。 アイシュ。 父さんが買ってくれたね。 アイシュ。 美味しいね。 これは? パン。 浮川。 リッチ、ポシェット。 リッチ、みもアンパンマーのポシェット持ってるよ。
867.00,917.00,MOT,アンパンマーのないね。 アンパンマーの下にあるのかな? うん。 これは? コーヒー。 バー、バーと。 バー、バーと、 ジジが好きなんね。 バー、バー、コーヒー好きなんね。 バー、バー。 卵。 じゃん、じゃん、じゃん。 ゾウさんと、 ジュー、ジュー。 ああ、醤油。 醤油とクルクル混ぜて、 今日もみちがやったね。 もももって。 もももってやったね。 みち、醤油はあまりかけんでいいからね。 醤油はあまりかけたらあんたね。 塩分取り継ぎになるからね。 え? え? え?
917.00,927.00,CHI,どうなる? うん。 どこ? クジラさん。 大きいからね。
927.00,983.00,MOT,大きいね、クジラね。 父ちゃんと。 父さんと? 父さんと見た? クジラさん。 あれ、前ジャンプしてたね。 いるかよ? しながわしい族館で、 お父さんと見た? お父さんと見た? お父さんと見た? しながわしい族館で、 ジャンプってしてたよ。 大きいのいるかさんが、 ジャンプってしてたよ。 写真であるんじゃない? 見た?写真で。 写真探そうか。 写真で。 あるかな? これはみっちーだろ。 これは。 もももしてるね。 いるかさんの写真あるかな? あった。 いるかさんのお口。 いるかのお口。 ね?
985.00,987.00,MOT,誰?
987.00,991.00,CHI,誰? 誰?
991.00,995.00,MOT,わーちゃんよ? じいじいと。
995.00,997.00,CHI,じいじいと。
997.00,1001.00,MOT,およいで、 プール、プール。
1001.00,1005.00,CHI,父さんと。 父さんと。
1005.00,1011.00,MOT,姉ちゃんと。 母さんがみっちみだくしておるよろ。 プール、ぴちゃぴちゃ気持ちよかったね。
1013.00,1015.00,MOT,これは。
1023.00,1035.00,MOT,みっちーお風呂入ってるね。 これ誰と入った? ばーちゃんと、 しまばーちゃんと、 かなちゃんと一緒に入ったよろ。 ぴちゃぴちゃって水を添いろ。
1043.00,1051.00,MOT,手出して、 いるかさんが こっちってしてくれたよ。 母さんの手でにいっちゃって。
1057.00,1061.00,MOT,これ誰? パンパン!
1062.00,1093.00,MOT,パンパンってボール、キックキックしてたよろ。 こうやって、 カイスティカイスティって、 とりあえしたね。 息子のスーちゃん。 今、スーちゃんが来てるはずなんよ。 スーちゃんの、 東京のおばあちゃんの所、 来てるよ、今。 ゆうきおばちゃん、 覚えてる? 誰? みじえちゃんね。 ここ。 みじえちゃんの間、前だろ、これ。
1093.00,1095.00,CHI,これは?
1095.00,1107.00,MOT,引っ張ったよ、道が。 いやよ、いやよ、いやよ、 って言ってたよろ。 みじえちゃん、いやよ、いやよ、 言ってたよろ。 引っ張ったよ、引っ張ったかんよ。
1109.00,1111.00,MOT,なんで、嘘なきそうなんだって。
1113.00,1117.00,MOT,これ誰?これこれ、道から。 ここにある誰?これ。
1118.00,1120.00,CHI,誰?
1120.00,1138.00,MOT,トータクエロ? え? トータクエロ? これ誰?これ。 男の子みたいな、短い髪だけして。 ね。 みじえちゃんでしょ? 髪なんて全然なかったね。
1139.00,1141.00,MOT,今もらわしないでしょ。
1148.00,1155.00,MOT,はい、今度こっち見よう、これ。 うん。 ね。 いっしょ! いっしょ、いっしょ。
1156.00,1173.00,MOT,こっちゃん! うん、母さん。 母さんもこれ? 母さんがこれ見るわな。 みっちりそり見てね。教えて。 誰がいる? 誰? 誰? 誰がいる?
1178.00,1190.00,MOT,誰がいる? 教えて。 おっきい! おっきいね、みっちみの顔。 おっきいね、ドアップ。 ドアップ。
1193.00,1195.00,MOT,誰?
1198.00,1216.00,MOT,トータクエロ? あ、いっぱいいる友達が。 誰?誰? 誰? 誰かわかる? これ誰? 誰? 誰? 立っちゃうままやろ?
1220.00,1224.00,MOT,これは? しょうくん。
1224.00,1232.00,CHI,これは? トータク。 ドアタック。 ぬいにやった。
1235.00,1241.00,CHI,うま。 マイク。 カイデ。
1241.00,1256.00,MOT,カイデちゃん? カイデちゃん。 カイデちゃんがマイクできるのを、 わわわわって言ってたね。 わわわわわって。 みっちもマイク持ってお話したやろ。 マイク持っておたたったやろ。
1261.00,1267.00,MOT,誰がいる? おー。 お母さんが教えて。
1269.00,1284.00,MOT,おら。 いたいたいって言ってたよ、写真の人ら。 母さんと父さんいたいってこれ。 母さんと父さんいたいよ、 そんなに蹴ったら。 これ。 ほら、らららららら。 ケラン取ってください。
1286.00,1288.00,MOT,キックしないでください。
1290.00,1298.00,MOT,キックキックしないでください。 見て、ほら、見て。 足川さんがジャンクしてるよ。 くれ。
1300.00,1305.00,MOT,しなに? とりあえとりあえとりあえ行か。 とりあえとりあえって。
1308.00,1313.00,MOT,首でくるくるしてた。 あざらしさんが、首でくるくるしてた。
1314.00,1316.00,MOT,イトひっぱらん取ってよ。
1318.00,1320.00,MOT,イトひっぱらん取って。
1322.00,1558.00,MOT,ひとひっパランとってよ、みきち ひとひっパランとって ひとひっパランとって ね、ね ひとひっパランとってきてるでしょ?あ、これは これは、これは なにこれ? えさ、うん、リスに、えさ母さんこうやって えさあげようって、リス用意でーってやってねな えさよーって、えさ食べた? えさ、美味しい美味しい美味しい これは、これは あんぱんぱんぱんきみと ゆうきぼくでる カレーパンマン これが? みっちんのお口におるな バイキンマンやろ?バイキンマン カバー おめでとう これは、赤いドキンちゃん みっちぃ、この間さ、ハノ剣士に 行ったときに先生がポンポンってやってくれたよなにがった? ここ、おとてみっちぃハンコポンポンってしてくれたやろ? みっちみちゃんは虫眼鏡がなんか言って、おりこんさんですねーってさ あんぱんマンの反抗してくれたねー あんぱんマンの反抗してくれたねー あら、友達がいっぱいほら いっぱい これ誰これ おみみ おみみ? おみみ?おみみ見えてるね、ちょっとだけね おみみ おみみはい 頭片膝ポン 膝ポン 頭片膝ポン みっちぃ 鼻口 頭片膝ポン 膝ポン 何?頭片膝ポン みっちぃ目、目ー 耳、鼻、口 みっちぃ みっちぃ ぱんぱん 何台本見ようかじゃあ今度は 何台本見る? あ、ほらあんぱんマンの あんぱんマンとカビルンルンだって はい、読んだようね カビルンルンがふーっと ほらカビさんがふーっと吹いたら カビがいっぱい カビルンルンが ジャムーシさんのパン工場にやってきました うん、あんぱんマンだ
1558.00,1562.00,CHI,何?
1562.00,1606.00,MOT,マント うん、飛んでなマントひらひらひらって飛んでくるの マントひらひらひらってさして飛んでいくね ほらカビがいっぱい このパンマンがパンを 太陽でしょ 太陽でカビをやっつけたぞ 太陽攻撃でカビをやっつけろって うん、だっち パンマンがやっつけた グー
1606.00,1610.00,CHI,グー
1610.00,1630.00,MOT,きれいきれいしてほら カビをやっつけたぞって カビをやっつけたぞってお掃除して 飛んでる 飛んでる?飛んでるね、あんぱんマンがね
1630.00,1650.00,CHI,飛んでるぞ ブーン あんぱんマンは君さ あんぱんマンだ 勇気をくれる
1650.00,1670.00,MOT,あんぱんマンだ お風呂入ったら消えたね また今度保健所行ってやってもらうね 先生に歯を見てもらったらあんぱんマンの方をポンッとしてくれる やってもらうね
1670.00,1674.00,CHI,カビ
1674.00,1690.00,MOT,カビ カビを来た長くしてたらカビが入ってくるよ カビすんの カビルンルンカビルンルンカビルンルンカビルンルン
1690.00,1694.00,CHI,わーって
1694.00,1734.00,MOT,あんぱんマンは君 あんぱんマン助けて 助けてもらって 鼻 鼻大きいね お耳ある?あんぱんマン ほっぺたがすごいよ ほっぺた大きい あんぱんマンはほっぺた大きいよ 足しないよみっち
1734.00,1738.00,CHI,太陽でカビさんをやっつけろ
1738.00,1762.00,MOT,ちょっとやっつけたね カビさんをやっつけろ みっちしまじろの絵本とって 先生を掃除してるやろ みみ みみで
1762.00,1774.00,CHI,開けるの? 開けるの? 開けるの?
1774.00,1818.00,MOT,開けるの? くまちゃん あった あった 開けていい? 開けるの? 開けたよ おかたづけ?くまちゃんのお腹の ふわふわのとこやらせ これ くまちゃんの中ふわふわのとこ
1818.00,1822.00,CHI,とこのとこやらせ
1822.00,1842.00,MOT,ぺたん 無理がないからねぺたんでき ぺたんでき みかんわざらざら くまちゃんの中は
1842.00,1846.00,CHI,ふわふわ
1846.00,1854.00,MOT,チューリップ? チューリップは?
1854.00,1870.00,MOT,いい匂いね いい匂いする? さあいた さあいた
1870.00,1874.00,CHI,チューリップの鼻
1874.00,1882.00,MOT,かんしん おかあの今日だ
1882.00,1894.00,CHI,おかあの今日だ おかあの今日だ おかあの今日だ
1894.00,1954.00,MOT,一緒 空気出るやつやから一緒ってこと? 一緒 キューってなったね キューってなったね キューキュー みっちぃ これ見よっか 授業してるよみんな キューって 先生ね モップでキューってしてるよ みっちみもここにおにもち置いてたね 早くね みっちんいらっしゃい
1954.00,1962.00,CHI,大きい 大きい
1962.00,2006.00,MOT,大きいロッカーやね 大きいロッカーやね 先生と お友達がいたね みっちんおにもちここに置いてくださーい って言ってた? 赤いとこ 赤いとこに置いてくださーい あちあち あち あち
2006.00,2010.00,CHI,みっちんおにもち置いてくださーい
2010.00,2030.00,MOT,先生と もった ゆえんち ゆえんち行ったことないね 丸いっぱい
2030.00,2038.00,CHI,なにこれ マイク
2038.00,2114.00,MOT,マイク 宇宙 大きいね 天の星 土星 明王星 太陽 太陽これ みっちみが住んでる地球は? ここ これはね水星かな 水星 水星 島城が飛行機のってさ 宇宙が飛んでるの宇宙は宇宙旅行に行ってきまーすって 宇宙旅行に行ってきまーす スッ え?なに? え?
2114.00,2118.00,CHI,え?
2118.00,2266.00,MOT,スッ 母さん貨物書になったんかな でもたらしに花がじゅるじゅるし わー はいチーズして チーズは?マイ 反対?こうでしょ こうよ はいチーズみっちー ピースしてピース ピースできた こっちこっち来て 島城と一緒に島子ちゃんと一緒にいたら チーズして こっちにさって いくよ いくよはいチーズ いいかおいいかおいいかお ピースできたね いくよみっちーはいチーズ はいじゃあ今度みっちーがとって みっちーがとって母さん 母さんがとるの?何枚とるんや いくよはいチーズ じゃーん ピースねそれピースできるようになったね ピースじゃあずねみっちー おかあ みっちみがとって じゃあ母さんと何枚とればいい?みっちー何枚とればいいの? みっちみ何枚とれば母さんとってくれる? 母さんとってよ 母さんとってくれる?はい 母さんとるのみっちーだ みっちー母ちゃん 母さんとって 反対や反対
2266.00,2274.00,CHI,反対や反対や 見える?見える?
2274.00,2294.00,MOT,見える母さん はいチーズ はいチーズとってくれた? とってくれた?ありがとう ピースとって
2294.00,2298.00,CHI,母ちゃんとって
2298.00,2370.00,MOT,はいよ いくよはいチーズ あーかわいいみっちー3になってる3 1 2 4 5 6 1 8 みっちー風よっかいくよ 1 3 4 5 みっちーキティちゃんの店屋さんの絵本持ってきて わかる? キティちゃんの店屋さんの絵本
2376.00,2380.00,MOT,キティちゃんの店屋さんの絵本わかる?
2388.00,2400.00,MOT,あった?キティちゃんの店屋さんよ あった? 持ってきてよキティちゃんの絵本持ってきて
2400.00,2404.00,CHI,キティちゃんの店屋さんの絵本
2404.00,2490.00,MOT,あ、リボンねリボン リボン取られへん リボン取ったらかん 取られへんのに、ひっついてるのに みっちー2リボンしてあげよう バーチャル買ってくれたよ かわいいリボンしてあげよう かわいい かわいいよ、かわみもっと入れちゃう まだまだまだ、みっちー おしゃいして 昨日な、おきばちゃんにペンしてもらったよ おきばちゃんにかわいいのしてもらったよ かわいいよりも お花の あ、待って 痛くないよ みっちー見て 見える?ここ見える? 取るの?かわいいのに かわいいのに 取ったよ
2490.00,2502.00,CHI,かわいいのに かわいいの くだくだ
2502.00,2528.00,MOT,え?何? くだ きいら くだ 水いら くら みっちーもっとこっちこなきゃビデオに入ってないよ みっちーちゃんのお店屋さんはこれ これ
2528.00,2530.00,CHI,これや
2530.00,2536.00,MOT,くりくり これひまわり ひまわり
2536.00,2538.00,CHI,これは?
2538.00,2604.00,MOT,ひまわり ひまわり ひまわり ひまわり これは? チュリップやろ これ ポーチ ポシェット これは? 頭にかぶるの? お洋服 ジャンパー どうさと わばと お洋服着て 行ったの? これは? これ何これ? トライトライトライ トライトライトライト みっちみ おでしいや おだしょー お母さんあれリボンどこやった? 棒にリボンつけたの? ねえあるかな?ちょっと見てて 探してみるか
2606.00,2612.00,MOT,トライトライトライトライン あった あった
2614.00,2620.00,MOT,はい じゃあみっちーこっちねお母さんこれね うん
2628.00,2635.36,MOT,おお肉 大きく ちいちょくちいちょくちいちょく
2636.00,2638.00,MOT,まわってよ
2644.00,2646.00,MOT,大きく
2648.00,2650.00,MOT,くれくれくれ
2652.00,2667.00,MOT,はい行くよ前へ 前へ、上がってー! はい、前へ、上がってー!
2667.00,2677.00,CHI,じゃんちゃんちゃん、とろとろとろとろって! はい。 ここでやるの? うん。 ここでやるとやるとやる。 何? ここでやる。 それ?
2677.00,2704.00,MOT,うん。 これでやるの? うん。 ミッチじゃん、それでやって。 以前の 傘はこっち、ちっちゃいでやるから、あ、いれ。 てててててててて。 とって。 取るの? かしてじゃ。 取ったら何もなくなるで。 何も無いや、ひりばむ。 取って。 これも取るの?
2704.00,2705.00,CHI,うん。
2705.00,2715.00,MOT,これ取ったらミッチだめよ。 とって。 とるの? うん。 とって とるな とらんでいいやな
2720.00,2734.00,MOT,とったらもう ほら だっち おいておくな 同じのにやんな 何すんな とりあえず
2739.00,2745.00,MOT,ったら とらでいい あいまるよ
2751.00,2755.00,MOT,反対まわり はい、始まり
2763.00,2775.00,MOT,ジャンプ! ジャンプ、ジャンプ、ジャンプ はい、下がって 下がって、後ろ後ろ 下がって、乾杯 乾杯
2779.00,2783.00,MOT,下がって、ちょこちょこ 前前前
2785.00,2787.00,MOT,下がって、後ろ後ろ後ろ
2789.00,2795.00,MOT,バックバック、道バックや バック さ、バックバック はい、前前前前前
2797.00,2801.00,MOT,はい、下がって、後ろ バックバックバックバックバック
2803.00,2805.00,MOT,取れ取れ、ぐらい 終わり
2806.00,2819.00,MOT,終わり はぁ はぁ 一緒 一緒 一緒ね 一緒ね 一緒 一緒ね 一緒ね パイ!
2820.00,2821.00,MOT,一緒
2822.00,2826.00,MOT,一緒 パイパイパイ パイ! パイ!
2827.00,2828.00,CHI,一緒
2829.00,2831.00,CHI,あ、これは?
2831.00,2832.00,MOT,たっ
2833.00,2836.00,MOT,これ何? はい パイ!
2837.00,2838.00,MOT,これは?
2840.00,2845.00,MOT,たっ エビと エビと うん これは?
2847.00,2857.00,MOT,カニ カニ あ、これは? うん これは? たっ うそ!白いんやん 白い? 白いじゃん
2858.00,2871.00,MOT,いいかいやろ? いいかい いいかい いいかい かい かいかい かいかい かいかい あったったった かいかいあった これは? みっちんこれ
2872.00,2875.00,MOT,この人誰? これは?
2875.00,2895.00,CHI,玄関 玄関 玄関つよまのたぬきさん おっぱいのねねねして たっこしてあんぶして またして のたぬきさやね て て
2895.00,2905.00,MOT,て て てからて て て おでこにて て て
2906.00,2909.00,MOT,おぺたにて て
2910.00,2914.00,MOT,て てぴょうして て
2915.00,2922.00,MOT,て 飛行機 飛行機 飛行機ね 飛行機 飛行機
2925.00,2926.00,MOT,飛行機見える?
2928.00,2930.00,MOT,行った 飛行機見えた?
2932.00,2933.00,MOT,飛行機おーいて
2934.00,2936.00,CHI,飛行機おーいて たった
2938.00,2939.00,MOT,ん?
2939.00,2940.00,CHI,見えよ
2940.00,2944.00,MOT,見えよ 見えよ 見えへん
2945.00,2953.00,MOT,見えへんって もう行っちゃったよ 飛行機行っちゃった 行っちゃった 行っちゃった と
2954.00,2962.00,MOT,危ないから見ちゃういて と あと閉めるの? と閉めるの? はい
2964.00,2969.00,MOT,はい閉めてくれるありがと よーいっしょ よーいっしょ
2973.00,2975.00,MOT,こわい こわい
2976.00,2982.00,MOT,こわい こわい落ちるよ おいておいてそれ ね
2983.00,2995.00,MOT,おいておいて おいておいて 怖い 怖いよ みっちー うん おいで あ なんだこれは野菜野菜
2996.00,3000.00,MOT,野菜 これ何? これ
3001.00,3002.00,MOT,カーブ
3003.00,3004.00,MOT,これは?
3007.00,3014.00,MOT,カーブ カーブ みっちーの好きな カーブ うち好きじゃないねカーブね
3015.00,3020.00,MOT,カーブと みっちーの好きなキューリーがあったよ キューリーどこ?
3021.00,3028.00,MOT,キューリーは? うん これ ね ちょくちょくちょくって 切ってるから分からんね
3029.00,3031.00,MOT,みっちーこれは? うん
3032.00,3039.00,MOT,大根さんよ 大根 大根 大根 大根
3039.00,3040.00,CHI,大根
3040.00,3043.00,MOT,大根 大根 大根
3044.00,3050.00,MOT,あいたたたたた 大根 みっちーも眠いの? 母さんも眠いのよ
3051.00,3055.00,MOT,ね ねいねする? ねね ねね
3056.00,3057.00,MOT,ねね
3058.00,3060.00,MOT,ねね ねない
3061.00,3063.00,MOT,え? うん
3064.00,3067.00,MOT,みっちー母さん よしよし ねねん用して
3070.00,3072.00,MOT,母さんにねねん用して
3074.00,3076.00,MOT,ねねん用して
3076.00,3078.00,CHI,ねねん用
3079.00,3083.00,CHI,ねねん用 たたた はぁ
3089.00,3091.00,MOT,ねねん用
3092.00,3100.00,MOT,教田くけてください わかった わかった 末が
3100.00,3101.80,CHI,末の小ささか
3106.20,3130.24,MOT,お 末ガー 末也 末が 末が 小さくなった 一緒に 黄色で一緒 でも小さくなっちゃった
3132.24,3134.24,MOT,このまま来たなぁ
3136.24,3138.24,MOT,バッチバッチ
3142.24,3148.24,MOT,お手手 お手手なに? バッチバッチのふさわっちゃった?
3148.24,3150.24,CHI,お手手
3150.24,3158.24,MOT,お手手きれいきれいする? はいじゃあお手手貸して きれいきれい きれいきれいになったよ
3161.24,3167.24,MOT,もっと もっときれいきれいするの? ベトベトしてるやろ
3169.24,3171.24,MOT,もっと
3174.24,3184.24,MOT,滑ったね 滑ったね 痛かった? どーんって どーんって
3184.24,3186.24,CHI,見える?
3186.24,3210.24,MOT,見える? ミッチーズは? 何も見えへん 赤い 赤い? これ大事だよ これ誰の大事? 赤いね 赤いバックバック バックバックミッチほら バックして 見えへんってそんなに近づいたら
3212.24,3228.24,MOT,そんな近づいて見えへんって ほらバックバックして バックバックして ミッチもとバック バックバック ストーップ ここらへん ミッチここを入れ
3230.24,3280.24,MOT,トマトあるよ アイスクリームがある ミッチも ミッチも ミッチもよく食べるね アイス好きだよね ミッチ ミッチミ ミッチミね ミッチミね 今度 今度ね アイスばっかり食べてたら ミッチをしばやくなるよ おかお お口 お口どれ お口どれ おかお 頭ぼっち 頭帽子かぶってるね およおふきてるね これ白いおよおふきてるね 顔がらよさね およおふきてるね
3284.24,3292.24,MOT,お口? 何それ 何それ 何それ
3294.24,3306.24,MOT,モグラさんミッチ目がりかけてるよ 見て これ これモグラ これ何? こっち
3308.24,3342.24,MOT,大根 これは これは これは トマト ケナー え? きれい 何がきれいの あそこ 何がある 階段 階段があるのやろ 大きい 大きい 階段 うん
3344.24,3358.24,MOT,お父さんガチャガチャガチャってなすんだよね うん めっちみ めっちみもあるの? めっちみは出されへん 重たいでガチャガチャガチャって 鍵開けてやるやろ
3360.24,3364.24,MOT,ガチャンって うん
3364.24,3366.24,CHI,父さんがいる
3366.24,3370.24,MOT,父さんがいるね 見て
3370.24,3380.24,CHI,見て 世界人形だ 世界人形だ ズボン ズボン
3380.24,3396.24,MOT,ズボン? これは 帽子 帽子ね 帽子被ってるね チュワーチ 変身 変身するやろ
3398.24,3400.24,CHI,うん
3400.24,3402.24,MOT,何?
3404.24,3444.24,MOT,帽子と 帽子と お洋服で ピカンピカンピカンピカンって みっちん勝手ピカンピカンピカンピカンって 変身したね 変身 ってするね 誰が変身してる みっちんと自分だった みっちんと貸して 一つ貸して とりあえしたね お兄ちゃんやから あくお兄ちゃんやから入って貸してくれたね 一度おぞって お兄ちゃんいいね いいね貸したくないよ いいね来たね あくね
3446.24,3456.24,MOT,変身ってしたやろ 変身は? チュワーチ チュワーチ トータクのお家に
3456.24,3458.24,CHI,いっぱいあったね
3458.24,3460.24,MOT,こんなちっこいのいっぱいあったね
3462.24,3526.24,MOT,いっぱいあったね いっぱいあったね トータクのお家にね トータクのお家で みっちん何食べたの 何食べたの チュウチュウ ちゅるちゅる食べたの おいしかった? 食べた? あちゅいって言ったの あちゅいって言った そうめんの 私も何もないやつ 食べたのはあつくなかったよ ね 食べたのかかったね ドルピーグ ドルピーグ ドルピーグ みっちんそろそろお金だけしよっか じゃあ お金 お金があったね お金見つけた? お金ちょうだい やった ちょうだいよ みっちんのお金じゃないのにそれ みっちんのお財布入れておいて みっちんのお財布にお金入れておいて はい
3534.24,3538.24,CHI,あれ あれ
3538.24,3546.24,MOT,入った ない ないからそれ入れておいて みっちんのお財布
3548.24,3556.24,CHI,あった あった それ いっぱいカードが入ってるね
3558.24,3560.24,MOT,カードが入ってるの
3562.24,3582.24,MOT,みっちんのお財布にないねしといて ね お金あつけ 父さん 父さんがこれ使わないようになったから みっちんにくれたんよ 父さんのお財布 父さんのお財布 みっちんにくれたんやからな みっちんのお財布
3586.24,3590.24,CHI,おいて おいて
3594.24,3604.24,MOT,何それ 何それ 鈴 鈴 鈴かちゃんの鈴
3606.24,3608.24,MOT,鈴かちゃんの鈴
3610.24,3614.24,MOT,鈴かちゃんの鈴 鈴ですよ
